head,variant,site,role,anchor,mode,mean,family_sd,family_min,family_max,families,events,positive_family_fraction
L2H21,base,earlier,target,first,raw,-0.0007016922724997554,0.004367677442767199,-0.010558459950589585,0.007711187861431603,20,1193,0.5
L2H21,base,earlier,target,first,output,-0.0007391283604435317,0.0028404046276682016,-0.006408269468106723,0.0062784220351547486,20,1193,0.3
L2H21,base,earlier,target,last,raw,-0.0010178820314387122,0.005593821239049066,-0.015517050759834155,0.007884681573388173,20,1193,0.5
L2H21,base,earlier,target,last,output,0.0006430397262119052,0.005412573654938246,-0.009275125794940525,0.009330821448358999,20,1193,0.5
L2H21,base,earlier,source,first,raw,-0.0010928781014988911,0.005831737613551864,-0.009862395888524698,0.010355473392539553,20,947,0.45
L2H21,base,earlier,source,first,output,0.00025174542697948546,0.003341217994642613,-0.005952062706152598,0.0054336201021636735,20,947,0.6
L2H21,base,earlier,source,last,raw,-0.0014961592201652703,0.0076227700113536394,-0.017160118950737848,0.011203540696038142,20,947,0.45
L2H21,base,earlier,source,last,output,-0.0003403469724717755,0.004662905478923955,-0.010177814298205906,0.007092383793658681,20,947,0.4
L2H21,base,final,source,first,raw,-0.0002552092075347902,0.010395795507370334,-0.013677597045898438,0.021456241607666016,20,40,0.45
L2H21,base,final,source,first,output,0.000675696631272634,0.005548329756206026,-0.013552347819010416,0.008093833923339844,20,40,0.7
L2H21,base,final,source,last,raw,0.00011208852132161447,0.011490207845478242,-0.02233123779296875,0.018039703369140625,20,40,0.55
L2H21,base,final,source,last,output,0.00037336548169453963,0.006426535304011084,-0.012142638365427652,0.011358896891276043,20,40,0.6
L2H21,base,final,target,first,raw,-0.0004182895024617512,0.00571569242372542,-0.010313828786214193,0.011922200520833334,20,40,0.5
L2H21,base,final,target,first,output,-0.0002153416474660239,0.0041776507383068165,-0.006374677022298178,0.006805757681528727,20,40,0.4
L2H21,base,final,target,last,raw,0.003068494796752929,0.0097041730227967,-0.015175501505533855,0.019989013671875,20,40,0.65
L2H21,base,final,target,last,output,-1.3358394304911227e-05,0.007245151889639613,-0.011737823486328125,0.013458093007405598,20,40,0.5
L4H0,base,earlier,target,first,raw,-0.00011246785958552887,0.0057158240917628824,-0.011854083716184243,0.014519006885283174,20,1193,0.55
L4H0,base,earlier,target,first,output,-0.0001543115238957058,0.002083618920939266,-0.003948149271309376,0.004393645744214114,20,1193,0.5
L4H0,base,earlier,target,last,raw,-0.002014790172690459,0.006283229101749422,-0.010498242816705815,0.012030906975269318,20,1193,0.4
L4H0,base,earlier,target,last,output,0.0002666561479393366,0.003471988590845701,-0.007861587839821974,0.005105824134815699,20,1193,0.65
L4H0,base,earlier,source,first,raw,-5.992834600690388e-05,0.007798579574798932,-0.011718124362593845,0.017324278752009075,20,947,0.55
L4H0,base,earlier,source,first,output,0.0015298828082492763,0.003958254722960098,-0.005131943217406037,0.011851932207743325,20,947,0.7
L4H0,base,earlier,source,last,raw,-0.0017831869640692372,0.008806020268184903,-0.018665199478467304,0.01414642333984375,20,947,0.45
L4H0,base,earlier,source,last,output,-0.00033996993522558087,0.004597935360400882,-0.012661826610565186,0.00597488750582156,20,947,0.6
L4H0,base,final,source,first,raw,0.0008346676826477045,0.00804688650912483,-0.010754903157552084,0.014453093210856121,20,40,0.55
